ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence
1704292200030449927,1704292200029833019,0,1,17077,T,A,0,4764750000000,1,0,16499,8558672
1704292200030569174,1704292200029933745,0,1,17077,T,B,0,4764750000000,1,0,16592,8558674
1704292200030739629,1704292200029937899,0,1,17077,T,B,0,4764750000000,1,0,20032,8558675
1704292200030739629,1704292200029991761,0,1,17077,T,B,0,4764750000000,1,0,20032,8558675
1704292200030739629,1704292200030053367,0,1,17077,T,B,0,4764750000000,4,0,20032,8558675
1704292200030801952,1704292200030430997,0,1,17077,T,A,0,4764750000000,2,0,13968,8558677
1704292200030880399,1704292200030609453,0,1,17077,T,A,0,4764750000000,2,0,19393,8558678
1704292200031062020,1704292200030883015,0,1,17077,T,A,0,4764750000000,1,0,15490,8558690
1704292200031923387,1704292200031781899,0,1,17077,T,A,0,4764750000000,1,0,17327,8558703
1704292200035409877,1704292200035274947,0,1,17077,T,A,0,4764750000000,1,0,13746,8558738
1704292200037990048,1704292200037810087,0,1,17077,T,A,0,4764750000000,3,0,15385,8558751
1704292200038257862,1704292200037849579,0,1,17077,T,A,0,4764750000000,29,0,17778,8558753
1704292200038257862,1704292200037849579,0,1,17077,T,A,0,4764500000000,75,0,17778,8558753
1704292200038897724,1704292200038329885,0,1,17077,T,B,0,4764750000000,1,0,15303,8558783
1704292200039353089,1704292200039154255,0,1,17077,T,A,0,4764500000000,1,0,15730,8558796
1704292200040259316,1704292200039828567,0,1,17077,T,B,0,4764750000000,51,0,17382,8558804
1704292200040259316,1704292200039828567,0,1,17077,T,B,0,4765000000000,19,0,17382,8558804
1704292200040542034,1704292200039889417,0,1,17077,T,B,0,4765000000000,10,0,16197,8558808
1704292200040686286,1704292200040244939,0,1,17077,T,B,0,4764750000000,1,0,16251,8558811
1704292200040727710,1704292200040264285,0,1,17077,T,B,0,4764750000000,1,0,15384,8558812
1704292200040812070,1704292200040269949,0,1,17077,T,B,0,4764750000000,3,0,17388,8558813
1704292200040812070,1704292200040270647,0,1,17077,T,B,0,4764750000000,6,0,17388,8558813
1704292200042607830,1704292200042437471,0,1,17077,T,B,0,4764750000000,1,0,15814,8558835
1704292200043118037,1704292200042942909,0,1,17077,T,A,0,4764500000000,1,0,15383,8558843
1704292200043518414,1704292200043253457,0,1,17077,T,A,0,4764500000000,2,0,19397,8558857
1704292200043921924,1704292200043253635,0,1,17077,T,A,0,4764500000000,39,0,17570,8558859
1704292200044337543,1704292200043938739,0,1,17077,T,B,0,4764500000000,2,0,15971,8558872
1704292200044499058,1704292200044040471,0,1,17077,T,B,0,4764500000000,1,0,18161,8558874
1704292200044499058,1704292200044146173,0,1,17077,T,B,0,4764500000000,1,0,18161,8558874
1704292200044535015,1704292200044301447,0,1,17077,T,B,0,4764500000000,1,0,14843,8558875
1704292200044642742,1704292200044342643,0,1,17077,T,A,0,4764500000000,1,0,17086,8558876
1704292200044671423,1704292200044342821,0,1,17077,T,A,0,4764500000000,1,0,15299,8558877
1704292200044902328,1704292200044482857,0,1,17077,T,A,0,4764500000000,1,0,16636,8558878
1704292200044902328,1704292200044488271,0,1,17077,T,A,0,4764500000000,1,0,16636,8558878
1704292200045053097,1704292200044507357,0,1,17077,T,A,0,4764500000000,1,0,20581,8558879
1704292200045053097,1704292200044536649,0,1,17077,T,A,0,4764500000000,1,0,20581,8558879
1704292200045053097,1704292200044547549,0,1,17077,T,A,0,4764500000000,4,0,20581,8558879
1704292200045175666,1704292200044629177,0,1,17077,T,A,0,4764500000000,9,0,18754,8558882
1704292200045247262,1704292200044681465,0,1,17077,T,B,0,4764500000000,1,0,13775,8558883
1704292200045706706,1704292200045525299,0,1,17077,T,B,0,4764500000000,1,0,14591,8558895
1704292200053467698,1704292200053286927,0,1,17077,T,B,0,4764500000000,1,0,15769,8558953
1704292200054250240,1704292200054080495,0,1,17077,T,B,0,4764500000000,1,0,15691,8558960
1704292200055882830,1704292200054869007,0,1,17077,T,B,0,4764500000000,17,0,15880,8558964
1704292200056082330,1704292200055755131,0,1,17077,T,B,0,4764500000000,20,0,15754,8558966
1704292200056150255,1704292200055755309,0,1,17077,T,B,0,4764500000000,1,0,19212,8558967
1704292200056150255,1704292200055755489,0,1,17077,T,B,0,4764500000000,1,0,19212,8558967
1704292200058511562,1704292200058307631,0,1,17077,T,A,0,4764500000000,3,0,15681,8558996
1704292200059224116,1704292200058973257,0,1,17077,T,A,0,4764500000000,11,0,16008,8558999
1704292200060274022,1704292200060086179,0,1,17077,T,A,0,4764250000000,1,0,15315,8559021
1704292200061522306,1704292200061342855,0,1,17077,T,B,0,4764500000000,1,0,15636,8559033
1704292200066680062,1704292200066341889,0,1,17077,T,B,0,4764500000000,18,0,15866,8559060
1704292200066739145,1704292200066566077,0,1,17077,T,A,0,4764500000000,1,0,13381,8559062
1704292200066914505,1704292200066755865,0,1,17077,T,A,0,4764500000000,2,0,15420,8559071
1704292200067023332,1704292200066810983,0,1,17077,T,A,0,4764500000000,16,0,16006,8559073
1704292200067400987,1704292200067173689,0,1,17077,T,A,0,4764250000000,5,0,15599,8559080
1704292200068213297,1704292200068024069,0,1,17077,T,A,0,4764250000000,1,0,15235,8559095
1704292200072295168,1704292200072053923,0,1,17077,T,B,0,4764500000000,6,0,16091,8559111
1704292200072452193,1704292200072278353,0,1,17077,T,A,0,4764250000000,1,0,15378,8559113
1704292200074656737,1704292200074434541,0,1,17077,T,A,0,4764250000000,5,0,15968,8559123
1704292200083021894,1704292200082738721,0,1,17077,T,A,0,4764250000000,12,0,18180,8559152
1704292200083058133,1704292200082822559,0,1,17077,T,A,0,4764250000000,1,0,15761,8559153
1704292200091354061,1704292200091148661,0,1,17077,T,A,0,4764250000000,1,0,16516,8559197
1704292200091388563,1704292200091213601,0,1,17077,T,A,0,4764250000000,1,0,14086,8559198
1704292200091495875,1704292200091278669,0,1,17077,T,A,0,4764250000000,1,0,15333,8559199
1704292200091618337,1704292200091281189,0,1,17077,T,A,0,4764250000000,1,0,19003,8559200
1704292200091618337,1704292200091284523,0,1,17077,T,A,0,4764250000000,3,0,19003,8559200
1704292200091618337,1704292200091305189,0,1,17077,T,A,0,4764250000000,3,0,19003,8559200
1704292200091770197,1704292200091340087,0,1,17077,T,A,0,4764250000000,1,0,20417,8559201
1704292200091770197,1704292200091427517,0,1,17077,T,A,0,4764250000000,1,0,20417,8559201
1704292200091770197,1704292200091457693,0,1,17077,T,A,0,4764250000000,1,0,20417,8559201
1704292200091770197,1704292200091483011,0,1,17077,T,A,0,4764250000000,2,0,20417,8559201
1704292200091791634,1704292200091508519,0,1,17077,T,A,0,4764250000000,1,0,14473,8559202
1704292200091943109,1704292200091675071,0,1,17077,T,A,0,4764250000000,31,0,16274,8559203
