experiment_id,alpha_last,beta_last,p_hat_last,posterior_mean,posterior_variance,ci90_width_normapprox
W5m__SUBLINEAR__RAW_N__sequential_update,10092.779534673225,1.0,0.9999009290824548,0.9999009290824548,9.813102124552608e-09,0.0002620264319551646
W60m__CAPPED__EFFECTIVE_N_STAR__sequential_update,125730.0,1.0,0.9999920465119978,0.9999920465119978,6.325696516552627e-11,2.103687170684765e-05
W60m__CAPPED__RAW_N__sequential_update,125730.0,1.0,0.9999920465119978,0.9999920465119978,6.325696516552627e-11,2.103687170684765e-05
W60m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,53715.54695740161,1.0,0.9999813837624225,0.9999813837624225,3.4655139833405255e-10,4.923937829948155e-05
W60m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,53715.54695740161,1.0,0.9999813837624225,0.9999813837624225,3.4655139833405255e-10,4.923937829948155e-05
W60m__RAW__EFFECTIVE_N_STAR__sequential_update,46264.0,1.0,0.9999783853885227,0.9999783853885227,4.67171233431232e-10,5.716987883597202e-05
W60m__RAW__RAW_N__sequential_update,46264.0,1.0,0.9999783853885227,0.9999783853885227,4.67171233431232e-10,5.716987883597202e-05
W60m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,169596.0,1.0,0.9999941036692866,0.9999941036692866,3.476630589205752e-11,1.5595737545837096e-05
W60m__SIZE_WEIGHTED__RAW_N__sequential_update,169596.0,1.0,0.9999941036692866,0.9999941036692866,3.476630589205752e-11,1.5595737545837096e-05
W60m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,73758.5504432866,1.0,0.9999864424336375,0.9999864424336375,1.8380262177242558e-10,3.585946066719803e-05
W60m__SUBLINEAR__RAW_N__sequential_update,73758.5504432866,1.0,0.9999864424336375,0.9999864424336375,1.8380262177242558e-10,3.585946066719803e-05
