experiment_id,window_length_min,weighting_method,dependence_method,n_used,y_used,effective_sample_size,trade_count,events_processed
W5m__SUBLINEAR__RAW_N__sequential_update,5,SUBLINEAR,RAW_N,10091.779534673335,10091.779534673335,4439.388613244913,6304,14094
W60m__CAPPED__EFFECTIVE_N_STAR__sequential_update,60,CAPPED,EFFECTIVE_N_STAR,22622.651645273978,22622.651645273978,22622.651645273978,46263,99140
W60m__CAPPED__RAW_N__sequential_update,60,CAPPED,RAW_N,125729.0,125729.0,22622.651645273978,46263,99140
W60m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,60,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,33871.94288720819,33871.94288720819,33871.94288720819,46263,99140
W60m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,60,IMBALANCE_ADJUSTED,RAW_N,53714.54695736849,53714.54695736849,33871.94288720819,46263,99140
W60m__RAW__EFFECTIVE_N_STAR__sequential_update,60,RAW,EFFECTIVE_N_STAR,46263.0,46263.0,46263.0,46263,99140
W60m__RAW__RAW_N__sequential_update,60,RAW,RAW_N,46263.0,46263.0,46263.0,46263,99140
W60m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,60,SIZE_WEIGHTED,EFFECTIVE_N_STAR,9276.708980768604,9276.708980768604,9276.708980768604,46263,99140
W60m__SIZE_WEIGHTED__RAW_N__sequential_update,60,SIZE_WEIGHTED,RAW_N,169595.0,169595.0,9276.708980768604,46263,99140
W60m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,60,SUBLINEAR,EFFECTIVE_N_STAR,32077.45657238029,32077.45657238029,32077.45657238029,46263,99140
W60m__SUBLINEAR__RAW_N__sequential_update,60,SUBLINEAR,RAW_N,73757.55044327893,73757.55044327893,32077.45657238029,46263,99140
