experiment_id,window_length_min,weighting_method,dependence_method,posterior_mode,posterior_mean,posterior_variance,ci90_width_normapprox,effective_sample_size,trade_count,events_processed
W5m__CAPPED__EFFECTIVE_N_STAR__sequential_update,5,CAPPED,EFFECTIVE_N_STAR,sequential_update,0.9999416773591508,3.401133686285766e-09,0.0001542577896916919,3159.5117064046613,6304,14094
W5m__CAPPED__RAW_N__sequential_update,5,CAPPED,RAW_N,sequential_update,0.9999416773591508,3.401133686285766e-09,0.0001542577896916919,3159.5117064046613,6304,14094
W5m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,5,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,sequential_update,0.9998644900752602,1.835796365612403e-08,0.00035839354594724426,4669.628650748101,6304,14094
W5m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,5,IMBALANCE_ADJUSTED,RAW_N,sequential_update,0.9998644900752602,1.835796365612403e-08,0.00035839354594724426,4669.628650748101,6304,14094
W5m__RAW__EFFECTIVE_N_STAR__sequential_update,5,RAW,EFFECTIVE_N_STAR,sequential_update,0.9998414208690136,2.5139366362070366e-08,0.00041940043736288235,6304.0,6304,14094
W5m__RAW__RAW_N__sequential_update,5,RAW,RAW_N,sequential_update,0.9998414208690136,2.5139366362070366e-08,0.00041940043736288235,6304.0,6304,14094
W5m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,5,SIZE_WEIGHTED,EFFECTIVE_N_STAR,sequential_update,0.9999564137209607,1.899598120451443e-09,0.00011528258301585215,1383.8615874101051,6304,14094
W5m__SIZE_WEIGHTED__RAW_N__sequential_update,5,SIZE_WEIGHTED,RAW_N,sequential_update,0.9999564137209607,1.899598120451443e-09,0.00011528258301585215,1383.8615874101051,6304,14094
W5m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,5,SUBLINEAR,EFFECTIVE_N_STAR,sequential_update,0.9999009290824548,9.813102124552608e-09,0.0002620264319551646,4439.388613244913,6304,14094
W5m__SUBLINEAR__RAW_N__sequential_update,5,SUBLINEAR,RAW_N,sequential_update,0.9999009290824548,9.813102124552608e-09,0.0002620264319551646,4439.388613244913,6304,14094
W60m__CAPPED__EFFECTIVE_N_STAR__sequential_update,60,CAPPED,EFFECTIVE_N_STAR,sequential_update,0.9999920465119978,6.325696516552627e-11,2.103687170684765e-05,22622.651645273978,46263,99140
W60m__CAPPED__RAW_N__sequential_update,60,CAPPED,RAW_N,sequential_update,0.9999920465119978,6.325696516552627e-11,2.103687170684765e-05,22622.651645273978,46263,99140
W60m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,60,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,sequential_update,0.9999813837624225,3.4655139833405255e-10,4.923937829948155e-05,33871.94288720819,46263,99140
W60m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,60,IMBALANCE_ADJUSTED,RAW_N,sequential_update,0.9999813837624225,3.4655139833405255e-10,4.923937829948155e-05,33871.94288720819,46263,99140
W60m__RAW__EFFECTIVE_N_STAR__sequential_update,60,RAW,EFFECTIVE_N_STAR,sequential_update,0.9999783853885227,4.67171233431232e-10,5.716987883597202e-05,46263.0,46263,99140
W60m__RAW__RAW_N__sequential_update,60,RAW,RAW_N,sequential_update,0.9999783853885227,4.67171233431232e-10,5.716987883597202e-05,46263.0,46263,99140
W60m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,60,SIZE_WEIGHTED,EFFECTIVE_N_STAR,sequential_update,0.9999941036692866,3.476630589205752e-11,1.5595737545837096e-05,9276.708980768604,46263,99140
W60m__SIZE_WEIGHTED__RAW_N__sequential_update,60,SIZE_WEIGHTED,RAW_N,sequential_update,0.9999941036692866,3.476630589205752e-11,1.5595737545837096e-05,9276.708980768604,46263,99140
W60m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,60,SUBLINEAR,EFFECTIVE_N_STAR,sequential_update,0.9999864424336375,1.8380262177242558e-10,3.585946066719803e-05,32077.45657238029,46263,99140
W60m__SUBLINEAR__RAW_N__sequential_update,60,SUBLINEAR,RAW_N,sequential_update,0.9999864424336375,1.8380262177242558e-10,3.585946066719803e-05,32077.45657238029,46263,99140
